Country,Vlookup value,Year,Year (copy),Anomaly Standardised,CO2 Emissions,Number of Records,Temperature
ASM,ASM1949,1949,1949,0.034612778,,1,26.649975
ASM,ASM1950,1950,1950,-0.282062222,,1,26.3333
ASM,ASM1951,1951,1951,-0.020370556,,1,26.594991667
ASM,ASM1952,1952,1952,0.271279444,,1,26.886641667
ASM,ASM1953,1953,1953,0.222937778,,1,26.8383
ASM,ASM1954,1954,1954,0.044621111,,1,26.659983333
ASM,ASM1955,1955,1955,-0.237062222,,1,26.3783
ASM,ASM1956,1956,1956,-0.338737222,,1,26.276625
ASM,ASM1957,1957,1957,-0.007062222,,1,26.6083
ASM,ASM1958,1958,1958,0.146287778,,1,26.76165
ASM,ASM1959,1959,1959,0.367962778,,1,26.983325
ASM,ASM1960,1960,1960,0.222962778,,1,26.838325
ASM,ASM1961,1961,1961,-0.023737222,,1,26.591625
ASM,ASM1962,1962,1962,-0.062062222,,1,26.5533
ASM,ASM1963,1963,1963,0.034604444,,1,26.649966667
ASM,ASM1964,1964,1964,0.021279444,,1,26.636641667
ASM,ASM1965,1965,1965,-0.262062222,,1,26.3533
ASM,ASM1966,1966,1966,0.049612778,,1,26.664975
